Dataset,Model,Link,Index,Value,SE,CovarianceStatus
H2AX4H100,P+NB,log,1,1.0191008226604774,0.050434871380755954,singular_pinv_rank_5_of_6
H2AX4H100,P+NB,log,2,0.23769542908354505,0.022558134520937516,singular_pinv_rank_5_of_6
H2AX4H100,P+NB,log,3,-39.75880786755264,0.20468389976090048,singular_pinv_rank_5_of_6
H2AX4H100,P+NB,log,4,13.011743823403519,0.6140515355264897,singular_pinv_rank_5_of_6
H2AX4H100,P+NB,log,5,2.5727073704278234,1.9975993112710853,singular_pinv_rank_5_of_6
H2AX4H100,Z+P+NB,identity,0,19.631144708520047,4.9122926935559365e-09,indefinite_pinv_rank_4_of_8
H2AX4H100,Z+P+NB,identity,1,2.460077372503656,0.18655452748972656,indefinite_pinv_rank_4_of_8
H2AX4H100,Z+P+NB,identity,2,1.0551582125780714,0.10103900627694233,indefinite_pinv_rank_4_of_8
H2AX4H100,Z+P+NB,identity,3,-0.00298365067172673,3.5623938791498815e-10,indefinite_pinv_rank_4_of_8
H2AX4H100,Z+P+NB,identity,4,0.0051235976743488135,2.583218269421854e-10,indefinite_pinv_rank_4_of_8
